District,Location,Types of Operating Hours,"For Vehicles Other Than Medium and Heavy Goods Vehicles, Buses, Motor Cycles and Pedal Cycles ",For Goods Vehicles,For Coaches
SAI KUNG,PO TUNG ROAD CAR PARK,H,23,3,0
SAI KUNG,SHA KOK MEI ROAD,H,26,0,0
SAI KUNG,SHEK KOK ROAD CAR PARK,H,82,0,0
SAI KUNG,SILVERSTRAND BEACH CAR PARK,B,61,0,3
SAI KUNG,TAI AU MUN ROAD,H,4,0,0
SAI KUNG,TAI CHUNG HAU ROAD,H,9,0,0
SAI KUNG,TAI MONG TSAI CAR PARK,H,14,0,0
SAI KUNG,TAI PO TSAI VILLAGE CAR PARK,H,23,0,0
SAI KUNG,TAN CHEUNG CAR PARK ,H,9,7,0
SAI KUNG,TAN SHAN ROAD CAR PARK,H,8,9,2
SAI KUNG,TIN CHAU ROAD,H,8,0,0
SAI KUNG,TSENG LAN SHUE CAR PARK (NEAR CLEAR WATER BAY ROAD),H,21,0,0
SAI KUNG,WA FUK STREET CAR PARK,H,11,22,0
SAI KUNG,WA YUNG ROAD CAR PARK,H,53,0,0
SAI KUNG,WING LAI ROAD ,H,54,9,0
SAI KUNG,WING LAI ROAD CAR PARK,H,42,9,0
SAI KUNG,YAN YEE ROAD,H,6,0,0
SAI KUNG,YAU YU WAN VILLAGE ROAD CAR PARK,H,22,9,3
SAI KUNG,YI CHUN STREET,H,6,3,0
ISLAND,CHI MA WAN ROAD,H,5,0,0
ISLAND,FU TUNG STREET,H,17,3,8
ISLAND,KEUNG SHAN ROAD,H,10,0,6
ISLAND,MUI WO FERRY PIER ROAD,H,10,0,0
ISLAND,NGAN WAN ROAD,H,4,0,0
ISLAND,NGONG PING PTI CAR PARK,H,21,0,17
ISLAND,PA MEI ROAD CAR PARK 1,H,36,0,0
ISLAND,PA MEI ROAD CAR PARK 2,H,46,0,0
ISLAND,TAT TUNG ROAD,H,5,0,2
ISLAND,TUNG CHUNG WATERFRONT ROAD,H,0,0,4
